image_name,upper_corner,lower_corner,all_center,upper_angle,middle_angle,lower_angle,lower_distance
CFD-BF-020-017-A.jpg,242.0330556,240.0187493,377.007843,66.07136668,124.9192083,63.87220625,542.1998663
CFD-BF-020-020-F.jpg,229.0021834,226.0088494,447.0692969,60.43827304,112.0960177,48.13057822,657.2010002
CFD-BF-021-012-F.jpg,235.0765833,227.0792813,460.0105554,63.6005431,107.4758988,44.53789623,715.5823781
CFD-BF-021-013-N.jpg,236.019067,231.0194797,417.0112794,65.1943818,110.7494246,52.03253076,639.441362
CFD-BF-021-014-HO.jpg,250.0979808,246.0995733,439.0183442,72.23028433,118.1644633,48.89649788,705.9549944
CFD-BF-021-015-HC.jpg,265.030187,263.0475242,447.0214389,74.31753658,121.5073205,51.3413578,724.1013986
CFD-BF-021-016-A.jpg,229.0021834,223.0022421,388.0262712,64.82496482,114.6191112,55.37003594,582.245326
CFD-BF-023-003-HO.jpg,220.0022727,216.0092591,445.0059347,64.54990196,119.4703407,43.02525915,682.0470998
CFD-BF-023-010-N.jpg,223.0089684,218.0022936,424.0194583,59.81466972,109.1724307,49.8584267,619.8788272
CFD-BF-023-012-HC.jpg,224.0022321,221.0022624,445.0015151,63.23138052,119.4462153,45.19350816,668.5579426
CFD-BF-023-013-A.jpg,213.0093895,207.0096616,445.0767983,59.22667011,112.6113211,42.96375114,659.1569653
CFD-BF-023-014-F.jpg,221.0361961,213.0375554,436.2343476,57.03200533,102.811793,47.85460301,626.5604988
CFD-BF-024-002-N.jpg,231.1060363,226.1083811,417.0329571,63.51603661,113.8352576,51.45471262,620.8226527
CFD-BF-024-003-HC.jpg,240.0749883,238.0756182,387.1243133,67.81280788,125.7297699,59.08784578,570.4969311
CFD-BF-024-005-HO.jpg,241.1327435,239.1024885,384.1874135,69.73237399,128.6465829,58.71188475,573.7680203
CFD-BF-024-024-A.jpg,224.2231032,220.184014,335.2333888,65.67685425,121.6656662,67.56658757,474.3418569
CFD-BF-024-030-F.jpg,224.1428116,218.1123564,446.1367299,62.50973417,108.467045,44.49560919,680.5863361
CFD-BF-025-002-N.jpg,215,209,401.0785781,58.65027087,103.7511295,51.83888804,579.5996284
CFD-BF-025-005-HO.jpg,233.1051265,228.0789337,396.0790661,63.56722975,114.7585475,56.54769228,572.9699353
CFD-BF-025-011-A.jpg,209.0095692,203.002463,327.0070497,63.03459452,117.5656696,64.29698283,462.7518054
CFD-BF-025-018-HC.jpg,224.0200884,221.0090496,377.0752355,61.69991274,110.9510279,59.83539759,535.6660516
CFD-BF-025-020-F.jpg,212.0023585,205,373.0018727,58.23445437,105.4386943,56.9420996,524.8062737
CFD-BF-027-002-N.jpg,210.0214275,205.02195,389.075828,56.56868979,102.2726435,54.58402578,541.2374059
CFD-BF-027-006-HO.jpg,228.0087718,225.0088887,441.0198,64.0110093,109.8059501,46.62620659,675.3711154
CFD-BF-027-008-A.jpg,208.038458,204.0392119,427.0064403,59.08306649,105.1616102,44.87234214,635.7916965
CFD-BF-027-013-HC.jpg,225.0799858,222.0562992,434.0934408,64.02199316,110.1504822,46.80627282,664.3029598
CFD-BF-027-016-F.jpg,215.0372061,208.038458,471.0066989,59.22495281,98.26243483,39.71199051,733.6027856
CFD-BF-028-001-N.jpg,230.0021739,223.0022421,405.0457583,61.74362719,105.6800186,54.06418991,599.6796523
CFD-BF-028-006-HO.jpg,226.0199106,222.0202693,386.1295177,65.80428775,115.9032457,54.72354979,576.929027
CFD-BF-028-020-HC.jpg,240.0020833,236.0084744,392.1823829,65.88191845,115.8174759,58.66001367,579.9893984
CFD-BF-028-021-A.jpg,223.0089684,216.0092591,391.0017606,62.19702363,112.5623194,53.98155641,574.2381008
CFD-BF-028-029-F.jpg,238.1029189,232.1055794,444.049956,65.74773788,112.5126128,47.36717853,686.6993172
CFD-BF-029-005-HO.jpg,245.0999796,242.0743687,397.4893986,65.76026724,116.443662,59.89510261,580.6601751
CFD-BF-029-031-N.jpg,222.0360331,216.0370339,423.0193106,57.95747466,105.5774621,50.69216042,606.2795766
CFD-BF-029-038-HC.jpg,242.0330556,239.0334705,416.0529602,64.30908255,118.5260061,55.73801499,608.2783195
CFD-BF-029-046-A.jpg,227.0088104,222.0090088,378.0739213,63.88200819,117.7723512,58.06170797,547.4032777
CFD-BF-029-049-F.jpg,221.0090496,213.0093895,439,56.55106458,102.8132929,47.68200808,630.9864447
CFD-BF-030-002-N.jpg,213.0093895,207.021738,391.0194963,58.84480455,111.4717762,53.02034046,552.3444784
CFD-BF-030-007-HO.jpg,224.0357114,222.0202693,360.0414994,65.22250117,123.5758808,61.49837433,512.8068459
CFD-BF-030-009-HC.jpg,223.0089684,221.0022624,353.1584899,62.93733402,122.5842016,65.26337138,486.0162598
CFD-BF-030-023-F.jpg,218.0366942,214.021027,364.1716135,61.60008748,110.8031678,60.11987248,514.7526637
CFD-BF-031-002-N.jpg,213.1149924,206.1188977,434.0245009,58.07625884,106.7185456,45.01680064,637.2647171
CFD-BF-031-020-A.jpg,214.0093456,208.0216335,380.1680617,59.62398931,112.4825869,55.29114314,534.7686082
CFD-BF-031-048-HC.jpg,232.2154172,228.1775624,399.1954882,68.44085835,124.0700845,52.45286661,607.1061127
CFD-BF-031-051-HO.jpg,239.2091135,236.2117694,389.0570301,70.5022808,128.413827,56.00289405,592.9409327
CFD-BF-031-062-F.jpg,222.0360331,217.057596,420.1402006,64.02740231,111.0657628,47.52123496,637.3959957
CFD-BF-032-006-HC.jpg,231.0194797,228.035085,454.0775955,67.38597822,119.8682503,43.88377773,715.7885593
CFD-BF-032-017-A.jpg,209.0598001,205.0609665,409.1223232,61.44631097,115.6593336,46.86863905,610.0029057
CFD-BF-032-038-N.jpg,217.0092164,212.0094338,402.0065265,62.11267906,110.8937112,50.25635538,598.914034
CFD-BF-032-043-HO.jpg,228.002193,224.0022321,402.0114524,66.91040738,121.6745858,51.44068368,608.7887086
CFD-BF-032-058-F.jpg,228.0087718,224.0089284,435.0435722,66.74877696,121.2874581,45.82283933,674.4087531
